"FieldName3.0","Category","SubCategory","SchemaLocation","XMLTag","Definition","DataType","Optionality","DomainListYN","WqxV2.FieldName","WqxV2.ActivityMetricProfile","WqxV2.BiolHabitatMetricProfile","WqxV2.BiologicalProfile","WqxV2.NarrowProfile","WqxV2.OrganizationProfile","WqxV2.PhysChemProfile","WqxV2.ProjectProfile","WqxV2.PrjMonLocWeightingProfile","WqxV2.QuantitationLimitProfile","WqxV2.SamplingActivityProfile","WqxV2.SiteProfile"
"OrgTelephonic_TelephoneExtensionNumber","Organization","ORG Telephonic","01.02.03","TelephoneExtensionNumberText","The number assigned within an organization to an individual telephone that extends the external telephone number.","String max 6","Optional","",,,,,,,,,,,,
"OrgAddress_AddressTypeNameA","Organization","ORG Organization Address","01.03.01","AddressTypeName","Categorizes an address as either location, shipping, or mailing address.","From domain values string max 8","Conditional (see business rule)","Yes
","OrganizationAddress/AddressTypeName_1",,,,,"OrganizationAddress/AddressTypeName_1",,,,,,
"OrgAddress_AddressTextA","Organization","ORG Organization Address","01.03.02","AddressText","The address that describes the physical (geographic), shipping, or mailing location of an organization.","string max 50","Conditional (see business rule)","","OrganizationAddress/AddressText_1",,,,,"OrganizationAddress/AddressText_1",,,,,,
"OrgAddress_SupplementalAddressTextA","Organization","ORG Organization Address","01.03.03","SupplementalAddressText","The text that provides additional information about an address, including a building name with its secondary unit and number, an industrial park name, an installation name or descriptive text where no formal address is available.","string max 120","Optional","","OrganizationAddress/SupplementalAddressText_1",,,,,"OrganizationAddress/SupplementalAddressText_1",,,,,,
"OrgAddress_LocalityNameA","Organization","ORG Organization Address","01.03.04","LocalityName","The name of a city, town, village or other locality.","String max 30","Optional","","OrganizationAddress/LocalityName_1",,,,,"OrganizationAddress/LocalityName_1",,,,,,
"OrgAddress_StateCodeA","Organization","ORG Organization Address","01.03.05","StateCode","A code designator used to identify a principal administrative subdivision of the United States, Canada, or Mexico.","From domain values string max 2","Conditional (see business rule)","Yes
","OrganizationAddress/StateCode_1",,,,,"OrganizationAddress/StateCode_1",,,,,,
"OrgAddress_PostalCodeA","Organization","ORG Organization Address","01.03.06","PostalCode","The combination of the 5-digit Zone Improvement Plan (ZIP) code and the four-digit extension code (if available) that represents the geographic segment that is a subunit of the ZIP Code, assigned by the U.S. Postal Service to a geographic location to facilitate mail delivery; or the postal zone specific to the country, other than the U.S., where the mail is delivered.","string max 10","Optional","","OrganizationAddress/PostalCode_1",,,,,"OrganizationAddress/PostalCode_1",,,,,,
"OrgAddress_CountryCodeA","Organization","ORG Organization Address","01.03.07","CountryCode","A code designator used to identify a primary geopolitical unit of the world.","From domain values string max 2","Optional","Yes","OrganizationAddress/CountryCode_1",,,,,"OrganizationAddress/CountryCode_1",,,,,,
"OrgAddress_CountyCodeA","Organization","ORG Organization Address","01.03.08","CountyCode","A code designator used to identify a U.S. county or county equivalent.","From domain values string max 3","Optional","Yes","OrganizationAddress/CountyCode_1",,,,,"OrganizationAddress/CountyCode_1",,,,,,
"OrgAddress_AddressTypeNameB","Organization","ORG Organization Address","01.03.01","AddressTypeName","Categorizes an address as either location, shipping, or mailing address.","From domain values string max 8","Conditional (see business rule)","Yes
","OrganizationAddress/AddressTypeName_2",,,,,"OrganizationAddress/AddressTypeName_2",,,,,,
"OrgAddress_AddressTextB","Organization","ORG Organization Address","01.03.02","AddressText","The address that describes the physical (geographic), shipping, or mailing location of an organization.","string max 50","Conditional (see business rule)","","OrganizationAddress/AddressText_2",,,,,"OrganizationAddress/AddressText_2",,,,,,
"OrgAddress_SupplementalAddressTextB","Organization","ORG Organization Address","01.03.03","SupplementalAddressText","The text that provides additional information about an address, including a building name with its secondary unit and number, an industrial park name, an installation name or descriptive text where no formal address is available.","string max 120","Optional","","OrganizationAddress/SupplementalAddressText_2",,,,,"OrganizationAddress/SupplementalAddressText_2",,,,,,
"OrgAddress_LocalityNameB","Organization","ORG Organization Address","01.03.04","LocalityName","The name of a city, town, village or other locality.","String max 30","Optional","","OrganizationAddress/LocalityName_2",,,,,"OrganizationAddress/LocalityName_2",,,,,,
"OrgAddress_StateCodeB","Organization","ORG Organization Address","01.03.05","StateCode","A code designator used to identify a principal administrative subdivision of the United States, Canada, or Mexico.","From domain values string max 2","Conditional (see business rule)","Yes
","OrganizationAddress/StateCode_2",,,,,"OrganizationAddress/StateCode_2",,,,,,
"OrgAddress_PostalCodeB","Organization","ORG Organization Address","01.03.06","PostalCode","The combination of the 5-digit Zone Improvement Plan (ZIP) code and the four-digit extension code (if available) that represents the geographic segment that is a subunit of the ZIP Code, assigned by the U.S. Postal Service to a geographic location to facilitate mail delivery; or the postal zone specific to the country, other than the U.S., where the mail is delivered.","string max 10","Optional","","OrganizationAddress/PostalCode_2",,,,,"OrganizationAddress/PostalCode_2",,,,,,
"OrgAddress_CountryCodeB","Organization","ORG Organization Address","01.03.07","CountryCode","A code designator used to identify a primary geopolitical unit of the world.","From domain values string max 2","Optional","Yes","OrganizationAddress/CountryCode_2",,,,,"OrganizationAddress/CountryCode_2",,,,,,
"OrgAddress_CountyCodeB","Organization","ORG Organization Address","01.03.08","CountyCode","A code designator used to identify a U.S. county or county equivalent.","From domain values string max 3","Optional","Yes","OrganizationAddress/CountyCode_2",,,,,"OrganizationAddress/CountyCode_2",,,,,,
"OrgAddress_AddressTypeNameC","Organization","ORG Organization Address","01.03.01","AddressTypeName","Categorizes an address as either location, shipping, or mailing address.","From domain values string max 8","Conditional (see business rule)","Yes
","OrganizationAddress/AddressTypeName_3",,,,,"OrganizationAddress/AddressTypeName_3",,,,,,
"OrgAddress_AddressTextC","Organization","ORG Organization Address","01.03.02","AddressText","The address that describes the physical (geographic), shipping, or mailing location of an organization.","string max 50","Conditional (see business rule)","","OrganizationAddress/AddressText_3",,,,,"OrganizationAddress/AddressText_3",,,,,,
"OrgAddress_SupplementalAddressTextC","Organization","ORG Organization Address","01.03.03","SupplementalAddressText","The text that provides additional information about an address, including a building name with its secondary unit and number, an industrial park name, an installation name or descriptive text where no formal address is available.","string max 120","Optional","","OrganizationAddress/SupplementalAddressText_3",,,,,"OrganizationAddress/SupplementalAddressText_3",,,,,,
"OrgAddress_LocalityNameC","Organization","ORG Organization Address","01.03.04","LocalityName","The name of a city, town, village or other locality.","String max 30","Optional","","OrganizationAddress/LocalityName_3",,,,,"OrganizationAddress/LocalityName_3",,,,,,
"OrgAddress_StateCodeC","Organization","ORG Organization Address","01.03.05","StateCode","A code designator used to identify a principal administrative subdivision of the United States, Canada, or Mexico.","From domain values string max 2","Conditional (see business rule)","Yes
","OrganizationAddress/StateCode_3",,,,,"OrganizationAddress/StateCode_3",,,,,,
"OrgAddress_PostalCodeC","Organization","ORG Organization Address","01.03.06","PostalCode","The combination of the 5-digit Zone Improvement Plan (ZIP) code and the four-digit extension code (if available) that represents the geographic segment that is a subunit of the ZIP Code, assigned by the U.S. Postal Service to a geographic location to facilitate mail delivery; or the postal zone specific to the country, other than the U.S., where the mail is delivered.","string max 10","Optional","","OrganizationAddress/PostalCode_3",,,,,"OrganizationAddress/PostalCode_3",,,,,,
"OrgAddress_CountryCodeC","Organization","ORG Organization Address","01.03.07","CountryCode","A code designator used to identify a primary geopolitical unit of the world.","From domain values string max 2","Optional","Yes","OrganizationAddress/CountryCode_3",,,,,"OrganizationAddress/CountryCode_3",,,,,,
"OrgAddress_CountyCodeC","Organization","ORG Organization Address","01.03.08","CountyCode","A code designator used to identify a U.S. county or county equivalent.","From domain values string max 3","Optional","Yes","OrganizationAddress/CountyCode_3",,,,,"OrganizationAddress/CountyCode_3",,,,,,
"Project_Identifier","Project","PROJ Description","02.00.01","ProjectIdentifier","A designator used to uniquely identify a data collection project within a context of an organization.","string min 1 string max 55","Mandatory","","ProjectIdentifier",,,"ProjectIdentifier",,,"ProjectIdentifier","ProjectIdentifier","ProjectIdentifier",,"ProjectIdentifier",
"Project_Name","Project","PROJ Description","02.00.02","ProjectName","The name assigned by the Organization (project leader or principal investigator) to the project.","string min 1 string max 512","Mandatory","","ProjectName",,,,,,"ProjectName","ProjectName",,,,
"Project_Description","Project","PROJ Description","02.00.03","ProjectDescriptionText","Project description, which may include a description of the project purpose, summary of the objectives, or brief summary of the results of the project.","string max 4000","Conditional (see business rule)","","ProjectDescriptionText",,,,,,,"ProjectDescriptionText",,,,
"Project_SamplingDesignType","Project","PROJ Description","02.00.04","SamplingDesignTypeCode","A code used to identify the type of sampling design employed for this project to ensure that sampling activities can support project objectives.","From domain values string min 1 string max 20","Optional","Yes","SamplingDesignTypeCode",,,,,,,"SamplingDesignTypeCode",,,,
"Project_QAPPApproved","Project","PROJ Description","02.00.05","QAPPApprovedIndicator","Indicates whether a Quality Assurance Project Plan (QAPP) has been approved for the submitted project.","boolean","Optional","","QAPPApprovedIndicator",,,,,,,"QAPPApprovedIndicator",,,,
"Project_QAPPApprovalAgency","Project","PROJ Description","02.00.06","QAPPApprovalAgencyName","An outside approval authority identifier for the QAPP (e.g. EPA or State Organization).","string max 50","Optional","","QAPPApprovalAgencyName",,,,,,,"QAPPApprovalAgencyName",,,,
"LocationWeighting_MontoringLocationIdentifier","Monitoring Location","Project Monitoring Location Weighting","02.02.01","MonitoringLocationIdentifier","A designator used to describe the unique name, number, or code assigned to identify the monitoring location.","string min 1 string max 55","Conditional (see business rules)","","MonitoringLocationIdentifier",,,,,,,,"MonitoringLocationIdentifier",,,
"LocationWeighting_Measure","Monitoring Location","Project Monitoring Location Weighting","02.02.02.01","MeasureValue","The recorded dimension, capacity, quality, or amount of something ascertained by measuring or observing.","string max 60","Conditional (see business rules)","","MeasureValue",,,,,,,,"MeasureValue",,,
"LocationWeighting_MeasureUnit","Monitoring Location","Project Monitoring Location Weighting","02.02.02.02","MeasureUnitCode","The code that represents the unit for measuring the item.","From domain values string max 12","Conditional (see business rules)","Yes","MeasureUnitCode",,,,,,,,"MeasureUnitCode",,,
"LocationWeighting_StatisticalStratum","Monitoring Location","Project Monitoring Location Weighting","02.02.03","StatisticalStratumText","Identifies the statistical stratum applied to this site.","string max 15","Optional","","StatisticalStratumText",,,,,,,,"StatisticalStratumText",,,
"LocationWeighting_Category","Monitoring Location","Project Monitoring Location Weighting","02.02.04","LocationCategoryName","Free text describing a category of naturally similar site types, such as high-gradient.","String max 50","Optional","","LocationCategoryName",,,,,,,,"LocationCategoryName",,,
"LocationWeighting_Status","Monitoring Location","Project Monitoring Location Weighting","02.02.05","LocationStatusName","Indicates whether this site is active and available for sampling.","string max 15","Optional","","LocationStatusName",,,,,,,,"LocationStatusName",,,
"LocationWeighting_ReferenceType","Monitoring Location","Project Monitoring Location Weighting","02.02.06","ReferenceLocationTypeCode","Identifies whether this site is a reference or control site by specifying the reference location type","From domain values string max 20","Optional","Yes","ReferenceLocationTypeCode",,,,,,,,"ReferenceLocationTypeCode",,,
"LocationWeighting_ReferenceStartDate","Monitoring Location","Project Monitoring Location Weighting","02.02.07","ReferenceLocationStartDate","The calendar date on which the monitoring location started being used as a reference site.","date (YYYY-MM-DD)","Optional","","ReferenceLocationStartDate",,,,,,,,"ReferenceLocationStartDate",,,
"LocationWeighting_ReferenceEndDate","Monitoring Location","Project Monitoring Location Weighting","02.02.08","ReferenceLocationEndDate","The calendar date on which the monitoring location stopped being used as a reference site.","date (YYYY-MM-DD)","Optional","","ReferenceLocationEndDate",,,,,,,,"ReferenceLocationEndDate",,,
"LocationWeighting_ResourceCreator","Monitoring Location","Project Monitoring Location Weighting","02.02.09.02","ResourceCreatorName","An entity primarily responible for making the content of the resource.","string max 120","Optional","","ResourceCreatorName",,,,,,,,"ResourceCreatorName",,,
"LocationWeighting_ResourceSubject","Monitoring Location","Project Monitoring Location Weighting","02.02.09.03","ResourceSubjectText","A topic of the content of the resource.","string max 4000","Optional","","ResourceSubjectText",,,,,,,,"ResourceSubjectText",,,
"LocationWeighting_ResourcePublisher","Monitoring Location","Project Monitoring Location Weighting","02.02.09.04","ResourcePublisherName","An entity responsible for making the resource available.","string max 60","Optional","","ResourcePublisherName",,,,,,,,"ResourcePublisherName",,,
"LocationWeighting_ResourceDate","Monitoring Location","Project Monitoring Location Weighting","02.02.09.05","ResourceDate","A date of an event in the lifecycle of the resource.","date (YYYY-MM-DD)","Conditional (see business rule)","","ResourceDate",,,,,,,,"ResourceDate",,,
"LocationWeighting_ResourceIdentifier","Monitoring Location","Project Monitoring Location Weighting","02.02.09.06","ResourceIdentifier","An unambiguous reference to the resource within a given context.","string min 1 string max 255","Conditional (see business rule)","","ResourceIdentifier",,,,,,,,"ResourceIdentifier",,,
"LocationWeighting_Comment","Monitoring Location","Project Monitoring Location Weighting","02.02.10","CommentText","General comments about the project monitoring location weighting. ","String max 4000","Optional","","CommentText",,,,,,,,"CommentText",,,
"ProviderName","","","99.01outbounda","ProviderName","Data providers collect user data from a mix of sources and exchange the data in a single data standard.","","","","ProviderName","ProviderName","ProviderName","ProviderName","ProviderName","ProviderName","ProviderName",,,"ProviderName","ProviderName","ProviderName"
"ProjectAttachment_FileDownload","","","99.01outboundb","ProjectFileUrl","This section allows for the association of References and electronic attachments to the Project description including any other documents, images, maps, photos, laboratory materials, geospatial coverages, and other objects associated with the Project.","","","","ProjectFileUrl",,,,,,,"ProjectFileUrl",,,,
"LocationWeighting_ProfileDownload","","","99.01outboundc","ProjectMonitoringLocationWeightingUrl","List of station weights per project.","","","","ProjectMonitoringLocationWeightingUrl",,,,,,,"ProjectMonitoringLocationWeightingUrl",,,,
"Location_Identifier","Monitoring Location","Monitoring Location Identity","03.00.01","MonitoringLocationIdentifier","A designator used to describe the unique name, number, or code assigned to identify the monitoring location.","string min 1 string max 55","Mandatory","","MonitoringLocationIdentifier","MonitoringLocationIdentifier","MonitoringLocationIdentifier","MonitoringLocationIdentifier","MonitoringLocationIdentifier",,"MonitoringLocationIdentifier",,,"MonitoringLocationIdentifier","MonitoringLocationIdentifier","MonitoringLocationIdentifier"
"Location_Name","Monitoring Location","Monitoring Location Identity","03.00.02","MonitoringLocationName","The designator specified by the sampling organization for the site at which sampling or other activities are conducted.","string min 1 string max 255","Mandatory","","MonitoringLocationName",,,,,,"MonitoringLocationName",,,,,"MonitoringLocationName"
"Location_Type","Monitoring Location","Monitoring Location Identity","03.00.03","MonitoringLocationTypeName","The descriptive name for a type of monitoring location.","From domain values string min 1 string max 45","Mandatory","Yes
","MonitoringLocationTypeName",,,,,,,,,,,"MonitoringLocationTypeName"
"Location_Description","Monitoring Location","Monitoring Location Identity","03.00.04","MonitoringLocationDescriptionText","Text description of the monitoring location.","string max 4000","Optional","","MonitoringLocationDescriptionText",,,,,,,,,,,"MonitoringLocationDescriptionText"
"Location_State","","","03.00.04outbounda","StateName","The descriptive name used to identify a principal administrative subdivision of the United States, Canada, or Mexico.","","","",,,,,,,,,,,,
"Location_CountryName","","","03.00.04outboundb","CountryName","The descriptive name used to identify a primary geopolitical unit of the world.","","","",,,,,,,,,,,,
"Location_CountyName","","","03.00.04outboundc","CountyName","The descriptive name used to identify a U.S. county or county equivalent.","","","",,,,,,,,,,,,
"Location_CountryCode","Monitoring Location","Monitoring Location Geospatial","03.01.11","CountryCode","A code designator","From domain values string max 2","Optional","Yes
","CountryCode",,,,,,,,,,,"CountryCode"
"Location_StatePostalCode","Monitoring Location","Monitoring Location Geospatial","03.01.12","StateCode","A code designator used to identify a principal administrative subdivision of the United States, Canada, or Mexico.","From domain values string max 2","Conditional (see business rule)","Yes
","StateCode",,,,,,,,,,,"StateCode"
"Location_CountyCode","Monitoring Location","Monitoring Location Geospatial","03.01.13","CountyCode","A code designator used to identify a U.S. county or county equivalent.","From domain values string max 3","Optional","Yes
","CountyCode",,,,,,,,,,,"CountyCode"
"Location_HUCEightDigitCode","Monitoring Location","Monitoring Location Identity","03.00.05","HUCEightDigitCode","The 8 digit federal code used to identify the hydrologic unit of the monitoring location to the cataloging unit level of precision.","string max 8","Optional","","HUCEightDigitCode",,,,,,,,,,,"HUCEightDigitCode"
"Location_HUCTwelveDigitCode","Monitoring Location","Monitoring Location Identity","03.00.06","HUCTwelveDigitCode","The 12 digit federal code used to identify the hydrologic unit of the monitoring location to the subwatershed level of precision.","string max 12","Optional","",,,,,,,,,,,,
"Location_TribalLandIndicator","Monitoring Location","Monitoring Location Identity","03.00.07","TribalLandIndicator","An indicator denoting whether the location is on a tribal land.","boolean","Optional","",,,,,,,,,,,,
"Location_TribalLand","Monitoring Location","Monitoring Location Identity","03.00.08","TribalLandName","The name of an American Indian or Alaskan native area where the location exists.","string max 512","Optional","",,,,,,,,,,,,
"Location_Latitude","Monitoring Location","Monitoring Location Geospatial","03.01.01","LatitudeMeasure","The measure of the angular distance on a meridian north or south of the equator.","Decimal; up to 12 digits","Mandatory","","ActivityLocation/LatitudeMeasure",,,"ActivityLocation/LatitudeMeasure",,,,,,,,"LatitudeMeasure"
"Location_Longitude","Monitoring Location","Monitoring Location Geospatial","03.01.02","LongitudeMeasure","The measure of the angular distance on a meridian east or west of the prime meridian.","Decimal; up to 14 digits","Mandatory","","ActivityLocation/LongitudeMeasure",,,"ActivityLocation/LongitudeMeasure",,,,,,,,"LongitudeMeasure"
"Location_HorzCoordReferenceSystemDatum","Monitoring Location","Monitoring Location Geospatial","03.01.07","HorizontalCoordinateReferenceSystemDatumName","The name that describes the reference datum used in determining latitude and longitude coordinates.","From domain values string min 1 string max 6","Mandatory","Yes
","ActivityLocation/HorizontalCoordinateReferenceSystemDatumName",,,"ActivityLocation/HorizontalCoordinateReferenceSystemDatumName",,,,,,,,"HorizontalCoordinateReferenceSystemDatumName"
"Location_LatitudeStandardized","","","03.01.07outbounda","LatitudeMeasureStandardized","The measure of the angular distance on a meridian north or south of the equator using projection WGS84, a datum featuring coordinates that change with time.","","","",,,,,,,,,,,,
"Location_LongitudeStandardized","","","03.01.07outboundb","LongitudeMeasureStandardized","The measure of the angular distance on a meridian east or west of the prime meridian using projection WGS84, a datum featuring coordinates that change with time.","","","",,,,,,,,,,,,
"Location_HorzCoordStandardizedDatum","","","03.01.07outboundc","HorizontalCoordinateStandardizedDatumName","The name that describes the reference datum used in standardizing the user supplied latitude and longitude coordinates.","","","",,,,,,,,,,,,
"Location_SourceMapScale","Monitoring Location","Monitoring Location Geospatial","03.01.03","SourceMapScale","The relationship or ratio between distance on a map and corresponding distance on the ground. Example 1:100,000 where 1 cm = 1 km","String max 60","Conditional (see business rule)","","SourceMapScaleNumeric",,,,,,,,,,,"SourceMapScaleNumeric"
"Location_HorzAccuracyMeasure","Monitoring Location","Monitoring Location Geospatial","03.01.04.01","MeasureValue","The recorded dimension, capacity, quality, or amount of something ascertained by measuring or observing.","string max 60","Optional","",,,,,,,,,,,,
"Location_HorzAccuracyMeasureUnit","Monitoring Location","Monitoring Location Geospatial","03.01.04.02","MeasureUnitCode","The code that represents the unit for measuring the item.","From domain values string max 12","Conditional (see business rule)","Yes
","HorizontalAccuracyMeasure/MeasureUnitCode",,,,,,,,,,,"HorizontalAccuracyMeasure/MeasureUnitCode"
"Location_HorzCollectionMethod","Monitoring Location","Monitoring Location Geospatial","03.01.06","HorizontalCollectionMethodName","The name that identifies the method used to determine the latitude and longitude coordinates for a point on the earth.","From domain values string min 1 string max 70","Mandatory","Yes
","HorizontalCollectionMethodName",,,,,,,,,,,"HorizontalCollectionMethodName"
"Location_VerticalMeasure","Monitoring Location","Monitoring Location Geospatial","03.01.08.01","MeasureValue","The recorded dimension, capacity, quality, or amount of something ascertained by measuring or observing.","string max 60","Optional","","VerticalMeasure/MeasureValue",,,,,,,,,,,"VerticalMeasure/MeasureValue"
"Location_VerticalMeasureUnit","Monitoring Location","Monitoring Location Geospatial","03.01.08.02","MeasureUnitCode","The code that represents the unit for measuring the item.","From domain values  string max 12","Conditional (see business rule)","Yes
","VerticalMeasure/MeasureUnitCode",,,,,,,,,,,"VerticalMeasure/MeasureUnitCode"
"Location_VerticalAccuracyMeasure","Monitoring Location","Monitoring Location Geospatial","03.01.05.01","MeasureValue","The recorded dimension, capacity, quality, or amount of something ascertained by measuring or observing.","string max 60","Optional","","VerticalAccuracyMeasure/MeasureValue",,,,,,,,,,,"VerticalAccuracyMeasure/MeasureValue"
"Location_VerticalAccuracyMeasureUnit","Monitoring Location","Monitoring Location Geospatial","03.01.05.02","MeasureUnitCode","The code that represents the unit for measuring the item.","From domain values string max 12","Optional","Yes","VerticalAccuracyMeasure/MeasureUnitCode",,,,,,,,,,,"VerticalAccuracyMeasure/MeasureUnitCode"
"Location_VertCollectionMethod","Monitoring Location","Monitoring Location Geospatial","03.01.09","VerticalCollectionMethodName","The name that identifies the method used to collect the vertical measure (i.e. the altitude) of a reference point.","From domain values string max 50","Conditional (see business rule)","Yes
","VerticalCollectionMethodName",,,,,,,,,,,"VerticalCollectionMethodName"
"Location_VertCoordReferenceSystemDatum","Monitoring Location","Monitoring Location Geospatial","03.01.10","VerticalCoordinateReferenceSystemDatumName","The name of the reference datum used to determine the vertical measure (i.e., the altitude).","From domain values string max 10","Conditional (see business rule)","Yes
","VerticalCoordinateReferenceSystemDatumName",,,,,,,,,,,"VerticalCoordinateReferenceSystemDatumName"
"Location_WellType","Monitoring Location","Monitoring Location Well Information","03.02.01","WellTypeText","Identifies the primary well type.","From domain values string max 255","Conditional (see business rule)","Yes",,,,,,,,,,,,
"Location_AquiferType","Monitoring Location","Monitoring Location Well Information","03.02.02","AquiferTypeName","The type of aquifer, such as confined or unconfined.","From domain values  string max 255","Optional","Yes
","AquiferTypeName",,,,,,,,,,,"AquiferTypeName"
"Location_NationalAquifer","Monitoring Location","Monitoring Location Well Information","03.02.03","NationalAquiferCode","A code that designates the principal aquifer associated with groundwater.","From domain values  string max 120","Optional","Yes
","AquiferName",,,,,,,,,,,"AquiferName"
"Location_LocalAquiferCode","Monitoring Location","Monitoring Location Well Information","03.02.04.01","LocalAquiferCode","A code that designates the local aquifer associated with groundwater.","string max 120","Conditional (see business rule)","Yes
",,,,,,,,,,,,
"Location_LocalAquiferCodeContext","Monitoring Location","Monitoring Location Well Information","03.02.04.02","LocalAquiferCodeContext","The code that Identifies the source or data system that created or defined the identifier","From domain values  string max 35","Conditional (see business rule)","Yes
",,,,,,,,,,,,
"Location_LocalAquifer","Monitoring Location","Monitoring Location Well Information","03.02.04.03","LocalAquiferName","A name that designates the local aquifer associated with groundwater.","string max 255","Conditional (see business rule)","","LocalAqfrName",,,,,,,,,,,"LocalAqfrName"
"Location_LocalAquiferDescription","Monitoring Location","Monitoring Location Well Information","03.02.04.04","LocalAquiferDescriptionText","A description that designates the local aquifer associated with groundwater.","string max 512","Optional","",,,,,,,,,,,,
"Location_AquiferFormationType","Monitoring Location","Monitoring Location Well Information","03.02.05","FormationTypeText","Name of the primary formation or soils unit, in which the well is completed.","From domain values string max 50","Optional","Yes","FormationTypeText",,,,,,,,,,,"FormationTypeText"
"Location_WellHoleDepthMeasure","Monitoring Location","Monitoring Location Well Information","03.02.06.01","MeasureValue","The recorded dimension, capacity, quality, or amount of something ascertained by measuring or observing.","string max 60","Optional","","WellHoleDepthMeasure/MeasureValue",,,,,,,,,,,"WellHoleDepthMeasure/MeasureValue"
"Location_WellHoleDepthUnit","Monitoring Location","Monitoring Location Well Information","03.02.06.02","MeasureUnitCode","The code that represents the unit for measuring the item.","From domain values string max 12","Optional","Yes","WellHoleDepthMeasure/MeasureUnitCode",,,,,,,,,,,"WellHoleDepthMeasure/MeasureUnitCode"
"Location_WellContructionDate","Monitoring Location","Monitoring Location Well Information","03.02.07","ConstructionDate","The date of construction when well was completed.","Date","Optional","","ConstructionDateText",,,,,,,,,,,"ConstructionDateText"
"Location_WellDepthMeasure","Monitoring Location","Monitoring Location Well Information","03.02.08.01","MeasureValue","The recorded dimension, capacity, quality, or amount of something ascertained by measuring or observing.","string max 60","Optional","","WellDepthMeasure/MeasureValue",,,,,,,,,,,"WellDepthMeasure/MeasureValue"
"Location_WellDepthMeasureUnit","Monitoring Location","Monitoring Location Well Information","03.02.08.02","MeasureUnitCode","The code that represents the unit for measuring the item.","From domain values string max 12","Optional","Yes","WellDepthMeasure/MeasureUnitCode",,,,,,,,,,,"WellDepthMeasure/MeasureUnitCode"
"Location_DrainageAreaMeasure","Monitoring Location","Monitoring Location Identity","03.00.10.01","MeasureValue","The recorded dimension, capacity, quality, or amount of something ascertained by measuring or observing.","string max 60","Optional","","DrainageAreaMeasure/MeasureValue",,,,,,,,,,,"DrainageAreaMeasure/MeasureValue"
"Location_DrainageAreaMeasureUnit","Monitoring Location","Monitoring Location Identity","03.00.10.02","MeasureUnitCode","The code that represents the unit for measuring the item.","From domain values string max 12","Optional","Yes","DrainageAreaMeasure/MeasureUnitCode",,,,,,,,,,,"DrainageAreaMeasure/MeasureUnitCode"
